country,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jamaica,,,,,,,,,,,,,,,,,,,6.73,8.32,9.58,10.6,10.8,13.7,15.9,19.7,18.8,15.7,15.9,16,24,24.8,33.8,27.7,36.6,23.3,25.2,13.9,16.4,14.1,14.7,13.3,11.5,11.8,10.8,9.82,9.26,8.89,9.12,9.67,6.44,4.28,3.75,3.7,4.52,3.89,3.56,3.71,3.02,2.55,2.46
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.09,7.68,8.5,9.11,8.21,8.3,6.97,5.8,4.43,3.14,2.49,2.91,4.62,5.45,5.46,4.94,3.53,3.4,3.77,4.85,4.52,3.5,3.03,3.43,4.38,4.93,4.08
Japan,6.72,6.37,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.05,6.25,8.33,8.33,7.03,5.99,4.2,5.18,8.59,6.93,5.86,5.86,5.47,5.47,3.62,2.75,2.75,3.08,5.56,5.99,3.35,2.14,1.7,0.901,0.3,0.301,0.266,0.117,0.0704,0.0571,0.0356,0.0425,0.0803,0.271,0.683,0.808,0.589,0.435,0.5,0.462,0.478,0.542,0.415,0.406,0.3,0.321,,,
Kenya,,,,,,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.32,5.13,5.13,5.13,5.13,5.13,5.75,8.85,12.2,13.3,11.8,11.3,11.3,10.3,10.3,12,13.7,14.5,,,15.7,13.6,17.6,16.7,18.4,9.55,8.1,6.64,5.49,4.13,2.43,5.08,5.14,5.16,5.3,5.97,4.56,5.63,11.6,8.64,8.37,9.19,8.69,7.67,8.29,7.51,6.97
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,29,35.4,27.4,14.5,8.09,4.12,2.52,1.95,1.97,1.88,2.15,2.45,2.81,1.96,2.2,2.32,2.33,2.49,2.46,2.42,2.75,2.42,1.54,1.37
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39,8.71,8.8,8.03,7.8,7.33,6.83,4.36,2.49,2.02,1.79,1.92,1.84,1.9,1.91,1.66,1.26,1.34,1.33,1.34,1.42,1.42,1.44,1.53,1.38,1.44,1.49
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,3.77,3.77,3.77,4.09,4.09,4.12,4.09,4.14,4.72,4.67,4.72,4.52,4.35,4.39,3.99,4.52,4.27,4.27,4.22,4.31,4.32,4.23,4.01,4.49,4.54,4.51,4.56,4.6,4.55,4.59,4.59,4.47,4.27,3.74,3.18,2.72,2.5,2.27,2.08,2.01,2.22
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,10.8,13.3,7.95,7.94,5.79,4.95,4.25,3.87,3.72,4.5,5.17,5.87,3.48,3.86,4.15,3.7,2.89,2.54,1.81,1.56,1.67,2.03,1.85,1.16
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,2.89,2.96,3.32,4.21,4.32,3.7,3.49,3.6,3.42,1.11,0.904,1.01,1.04,1.31,,
Kuwait,,,,,,,,,,,,,,,,,,,,,4.5,9.21,9.21,7.13,7.73,7.25,6.8,5.73,5.3,7.4,7.5,7.31,7.59,7.07,5.7,6.53,6.05,5.92,6.32,5.76,5.89,4.47,3.15,2.42,2.65,3.47,4.92,5.45,4.81,2.83,2.34,2.16,2.04,2.02,2.02,1.9,1.62,1.62,1.67,1.89,1.62
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,23.5,15,13.3,12,14,16,,17.8,13.4,12,6.5,6,6.58,7.85,4.75,5,5,4.67,3.25,3,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,12.9,10,11.5,13.2,16.4,21.2,22,17.5,16.9,16.8,17.1,15.6,14.8,16.3,15.5,13.4,13.6,12.5,11.2,10.9,11,8.69,7.37,8.15,7.98,7.97,7.7,7.32,6.2,5.88,5.77,5.83,5.91,5.98,5.93,6.26,7.72,9.7,
Liberia,,,,,,,,,,,,,,,,,,,,,10.3,10.9,10.2,10.3,9.81,9.34,7.25,5.88,5.43,6.77,,5.78,7.55,,6.34,6.37,6.5,6.42,6.22,6.25,6.18,5.94,6.25,5.29,3.84,3.43,3.44,3.77,4,4.11,3.54,3.03,3.5,3.87,4.16,4.05,3.85,5.03,,,
